frame,landmark,x,y,z,visibility,exercise,reps,time
0,0,0,0.275604,0.148908,-0.534059,0.999913,rest,0,0.0
1,0,1,0.288429,0.131975,-0.526187,0.99978,rest,0,0.0
2,0,2,0.295557,0.13173,-0.526283,0.999798,rest,0,0.0
3,0,3,0.302185,0.131633,-0.526477,0.999833,rest,0,0.0
4,0,4,0.273325,0.133102,-0.506134,0.999589,rest,0,0.0
5,0,5,0.270474,0.133656,-0.506186,0.999554,rest,0,0.0
6,0,6,0.267837,0.133967,-0.506331,0.999544,rest,0,0.0
7,0,7,0.31853,0.14557,-0.423495,0.999784,rest,0,0.0
8,0,8,0.274171,0.149776,-0.332947,0.998943,rest,0,0.0
9,0,9,0.290614,0.172255,-0.493194,0.999957,rest,0,0.0
10,0,10,0.271759,0.172604,-0.46721,0.999899,rest,0,0.0
11,0,11,0.384888,0.277017,-0.344715,0.999936,rest,0,0.0
12,0,12,0.246299,0.279549,-0.174236,0.999539,rest,0,0.0
13,0,13,0.40953,0.452445,-0.297197,0.994538,rest,0,0.0
14,0,14,0.229845,0.438719,-0.079739,0.904682,rest,0,0.0
15,0,15,0.425078,0.6044,-0.363904,0.976708,rest,0,0.0
16,0,16,0.197519,0.586854,-0.189592,0.828625,rest,0,0.0
17,0,17,0.439591,0.649902,-0.404242,0.941405,rest,0,0.0
18,0,18,0.178448,0.63139,-0.213111,0.732889,rest,0,0.0
19,0,19,0.430689,0.650652,-0.44522,0.949158,rest,0,0.0
20,0,20,0.179995,0.634818,-0.272394,0.757258,rest,0,0.0
21,0,21,0.421768,0.63535,-0.37938,0.942881,rest,0,0.0
22,0,22,0.188791,0.620538,-0.215665,0.751058,rest,0,0.0
23,0,23,0.349677,0.55838,-0.036066,0.998426,rest,0,0.0
24,0,24,0.270854,0.556788,0.035879,0.996925,rest,0,0.0
25,0,25,0.351453,0.80019,-0.105786,0.719018,rest,0,0.0
26,0,26,0.268323,0.791641,-0.008142,0.703744,rest,0,0.0
27,0,27,0.357178,0.972137,0.262134,0.553185,rest,0,0.0
28,0,28,0.26497,0.960019,0.346124,0.415264,rest,0,0.0
29,0,29,0.362236,0.98557,0.287649,0.174241,rest,0,0.0
30,0,30,0.266274,0.974495,0.373382,0.208899,rest,0,0.0
31,0,31,0.342449,1.002608,0.098277,0.412389,rest,0,0.0
32,0,32,0.261897,1.030741,0.191416,0.375264,rest,0,0.0
33,1,0,0.275648,0.150567,-0.504034,0.999912,rest,0,0.033
34,1,1,0.28747,0.132528,-0.497561,0.999775,rest,0,0.033
35,1,2,0.29334,0.132159,-0.497649,0.99979,rest,0,0.033
36,1,3,0.299853,0.131839,-0.497797,0.999825,rest,0,0.033
37,1,4,0.273327,0.13379,-0.476745,0.999591,rest,0,0.033
38,1,5,0.270496,0.13445,-0.476778,0.999553,rest,0,0.033
39,1,6,0.267861,0.134888,-0.476862,0.999542,rest,0,0.033
40,1,7,0.318485,0.14532,-0.402231,0.999774,rest,0,0.033
41,1,8,0.274358,0.149783,-0.307821,0.99895,rest,0,0.033
42,1,9,0.289759,0.172909,-0.465756,0.999956,rest,0,0.033
43,1,10,0.272132,0.174307,-0.438664,0.999897,rest,0,0.033
44,1,11,0.385075,0.277069,-0.31306,0.999933,rest,0,0.033
45,1,12,0.246366,0.279605,-0.169549,0.999563,rest,0,0.033
46,1,13,0.411603,0.45181,-0.246009,0.994546,rest,0,0.033
47,1,14,0.229848,0.438691,-0.066317,0.907283,rest,0,0.033
48,1,15,0.429267,0.604393,-0.313699,0.977123,rest,0,0.033
49,1,16,0.196885,0.585482,-0.173709,0.839168,rest,0,0.033
50,1,17,0.447594,0.647743,-0.350148,0.942426,rest,0,0.033
51,1,18,0.176855,0.628105,-0.199056,0.748585,rest,0,0.033
52,1,19,0.440556,0.650205,-0.390792,0.949876,rest,0,0.033
53,1,20,0.178223,0.632118,-0.256942,0.771431,rest,0,0.033
54,1,21,0.431174,0.635214,-0.329137,0.944053,rest,0,0.033
55,1,22,0.187913,0.618392,-0.199514,0.765388,rest,0,0.033
56,1,23,0.350459,0.561224,-0.035176,0.998403,rest,0,0.033
57,1,24,0.270553,0.560402,0.035022,0.996934,rest,0,0.033
58,1,25,0.352269,0.801402,-0.117418,0.701951,rest,0,0.033
59,1,26,0.269875,0.794104,0.003307,0.684317,rest,0,0.033
60,1,27,0.36365,0.975347,0.197173,0.521518,rest,0,0.033
61,1,28,0.270532,0.966584,0.306814,0.395684,rest,0,0.033
62,1,29,0.369358,1.006521,0.218003,0.167744,rest,0,0.033
63,1,30,0.275492,1.000109,0.328518,0.200828,rest,0,0.033
64,1,31,0.358675,1.050445,0.037805,0.386152,rest,0,0.033
65,1,32,0.269238,1.050911,0.140958,0.355426,rest,0,0.033
66,2,0,0.27581,0.151123,-0.420444,0.999913,rest,0,0.067
67,2,1,0.287057,0.132665,-0.413305,0.999775,rest,0,0.067
68,2,2,0.292405,0.132231,-0.413396,0.999789,rest,0,0.067
69,2,3,0.298855,0.131849,-0.413523,0.999823,rest,0,0.067
70,2,4,0.273339,0.134056,-0.394294,0.999603,rest,0,0.067
71,2,5,0.270523,0.134794,-0.394345,0.999566,rest,0,0.067
72,2,6,0.267877,0.135328,-0.394431,0.999555,rest,0,0.067
73,2,7,0.318401,0.144983,-0.324745,0.999769,rest,0,0.067
74,2,8,0.274355,0.149789,-0.239084,0.998993,rest,0,0.067
75,2,9,0.289419,0.172991,-0.385252,0.999955,rest,0,0.067
76,2,10,0.272424,0.174772,-0.360715,0.999896,rest,0,0.067
77,2,11,0.38508,0.277031,-0.244534,0.999933,rest,0,0.067
78,2,12,0.246399,0.279265,-0.126703,0.999591,rest,0,0.067
