frame,landmark,x,y,z,visibility
0,0,0.495967,0.324593,-0.406842,0.999977
0,1,0.506407,0.305572,-0.386091,0.999927
0,2,0.512897,0.306571,-0.386187,0.999918
0,3,0.518490,0.307688,-0.386256,0.999909
0,4,0.489141,0.305211,-0.384445,0.999932
0,5,0.484501,0.305275,-0.384543,0.999934
0,6,0.480742,0.305767,-0.384670,0.999931
0,7,0.526779,0.318272,-0.254075,0.999888
0,8,0.475935,0.317550,-0.244828,0.999923
0,9,0.508163,0.347176,-0.356659,0.999989
0,10,0.485825,0.345018,-0.354212,0.999989
0,11,0.578147,0.455443,-0.163315,0.999967
0,12,0.421593,0.456489,-0.154676,0.999947
0,13,0.589925,0.605092,-0.111041,0.995178
0,14,0.400990,0.607736,-0.097946,0.993197
0,15,0.600592,0.740963,-0.253553,0.985175
0,16,0.402044,0.752819,-0.215553,0.978154
0,17,0.601970,0.783087,-0.297503,0.964723
0,18,0.397007,0.790371,-0.249665,0.950274
0,19,0.590997,0.779807,-0.334019,0.968781
0,20,0.409815,0.785953,-0.291775,0.956113
0,21,0.586002,0.766194,-0.270024,0.969826
0,22,0.413836,0.774568,-0.232969,0.955023
0,23,0.541337,0.719125,-0.007317,0.998986
0,24,0.456003,0.725824,0.007555,0.998665
0,25,0.551609,0.930124,-0.083986,0.719135
0,26,0.449129,0.938973,0.011596,0.678403
0,27,0.555997,1.111111,0.255575,0.135391
0,28,0.452000,1.099974,0.290801,0.219950
0,29,0.554642,1.132665,0.280476,0.084057
0,30,0.454758,1.124084,0.312796,0.135553
0,31,0.554148,1.185840,0.134383,0.082994
0,32,0.447137,1.168795,0.151148,0.164330
1,0,0.496537,0.325982,-0.398690,0.999978
1,1,0.506693,0.308060,-0.376083,0.999931
1,2,0.512911,0.308832,-0.376189,0.999924
1,3,0.518491,0.309787,-0.376253,0.999915
1,4,0.489337,0.307825,-0.375899,0.999936
1,5,0.484502,0.308227,-0.375944,0.999938
1,6,0.480654,0.308925,-0.376055,0.999935
1,7,0.526822,0.320024,-0.233688,0.999895
1,8,0.475454,0.318847,-0.234500,0.999928
1,9,0.508268,0.348331,-0.345488,0.999989
1,10,0.486565,0.348102,-0.345589,0.999989
1,11,0.577321,0.454396,-0.139072,0.999968
1,12,0.422821,0.455464,-0.145063,0.999947
1,13,0.590239,0.603843,-0.083093,0.995309
1,14,0.402065,0.605747,-0.096634,0.993205
1,15,0.600515,0.740608,-0.241816,0.986016
1,16,0.402171,0.751450,-0.217386,0.977651
1,17,0.603172,0.782808,-0.291666,0.966613
1,18,0.397281,0.790372,-0.255846,0.949408
1,19,0.591090,0.779805,-0.330966,0.970475
1,20,0.410080,0.786008,-0.300320,0.955351
1,21,0.585928,0.766139,-0.259843,0.971176
1,22,0.414000,0.774240,-0.235909,0.953968
1,23,0.541337,0.726951,0.002664,0.998966
1,24,0.456000,0.731703,-0.002356,0.998670
1,25,0.554038,0.934324,-0.052773,0.725390
1,26,0.451335,0.941054,-0.009472,0.691314
1,27,0.563540,1.119275,0.241265,0.145455
1,28,0.444735,1.119257,0.218275,0.227869
1,29,0.559176,1.142727,0.261545,0.093869
1,30,0.444866,1.145026,0.234449,0.135680
1,31,0.572659,1.187929,0.114468,0.088895
1,32,0.444979,1.181814,0.061997,0.163192
2,0,0.496912,0.326818,-0.399341,0.999979
2,1,0.506866,0.309430,-0.377226,0.999936
2,2,0.512913,0.310090,-0.377330,0.999929
2,3,0.518479,0.310974,-0.377395,0.999921
2,4,0.489442,0.309240,-0.376672,0.999940
2,5,0.484497,0.309779,-0.376734,0.999942
2,6,0.480542,0.310581,-0.376849,0.999939
2,7,0.526822,0.321001,-0.234036,0.999901
2,8,0.475029,0.319616,-0.235689,0.999932
2,9,0.508333,0.349115,-0.346710,0.999989
2,10,0.486999,0.349795,-0.346425,0.999990
2,11,0.576863,0.453736,-0.137995,0.999968
2,12,0.423185,0.454964,-0.145805,0.999947
2,13,0.590286,0.603392,-0.082232,0.995396
2,14,0.402325,0.604906,-0.098197,0.993217
2,15,0.600453,0.740018,-0.243369,0.986742
2,16,0.402171,0.750402,-0.226753,0.977175
2,17,0.603900,0.782579,-0.294356,0.968240
2,18,0.397192,0.790177,-0.268180,0.948641
2,19,0.591128,0.779773,-0.335504,0.971941
2,20,0.409994,0.786004,-0.314823,0.954721
2,21,0.585855,0.765973,-0.260739,0.972317
2,22,0.413955,0.773992,-0.246686,0.953104
2,23,0.541432,0.729710,0.005900,0.998924
2,24,0.456024,0.734229,-0.005559,0.998653
2,25,0.555092,0.936028,-0.040735,0.732858
2,26,0.452472,0.941433,-0.009662,0.703484
2,27,0.566002,1.120954,0.242977,0.157339
2,28,0.442408,1.123777,0.219837,0.236289
2,29,0.560958,1.144909,0.263531,0.104958
2,30,0.441842,1.149667,0.236200,0.136729
2,31,0.576399,1.188076,0.116019,0.095914
2,32,0.444581,1.185475,0.062523,0.162923
3,0,0.497077,0.327432,-0.416701,0.999980
3,1,0.506916,0.310320,-0.393745,0.999939
3,2,0.512900,0.310895,-0.393831,0.999933
3,3,0.518412,0.311716,-0.393894,0.999926
3,4,0.489460,0.310207,-0.394794,0.999943
3,5,0.484463,0.310818,-0.394816,0.999945
3,6,0.480370,0.311627,-0.394916,0.999942
3,7,0.526772,0.321540,-0.243372,0.999907
3,8,0.474559,0.320064,-0.252708,0.999935
3,9,0.508344,0.349644,-0.360963,0.999989
3,10,0.487261,0.350847,-0.362942,0.999990
3,11,0.576110,0.452454,-0.141561,0.999969
3,12,0.423309,0.454641,-0.156271,0.999948
3,13,0.590390,0.602412,-0.086379,0.995573
3,14,0.402436,0.604501,-0.108309,0.993326
3,15,0.600430,0.739016,-0.247551,0.987526
3,16,0.402175,0.749858,-0.238763,0.977261
3,17,0.604455,0.781887,-0.301501,0.969971
3,18,0.397156,0.790177,-0.280167,0.948934
3,19,0.591324,0.779377,-0.343609,0.973499
3,20,0.409983,0.785996,-0.326535,0.955041
3,21,0.585878,0.765442,-0.266387,0.973635
3,22,0.413954,0.773677,-0.258480,0.953217
3,23,0.541434,0.730200,0.008078,0.998907
3,24,0.455977,0.734439,-0.007709,0.998649
3,25,0.555392,0.937141,-0.044823,0.739617
3,26,0.452766,0.941962,-0.016168,0.713354
3,27,0.565903,1.122563,0.246639,0.164518
3,28,0.438847,1.126112,0.217004,0.238546
3,29,0.561158,1.146640,0.266260,0.111532
3,30,0.437330,1.152210,0.233612,0.134494
3,31,0.574468,1.188431,0.116369,0.099878
3,32,0.442925,1.187805,0.057603,0.159605
4,0,0.497149,0.327636,-0.415135,0.999981
