frame,landmark,x,y,z,visibility
0,0,0.593639,0.142520,-0.565044,0.999874
0,1,0.609892,0.109947,-0.540123,0.999733
0,2,0.618580,0.110284,-0.540239,0.999715
0,3,0.627398,0.110864,-0.540456,0.999713
0,4,0.582301,0.110015,-0.540134,0.999718
0,5,0.573609,0.110069,-0.540234,0.999693
0,6,0.564989,0.109622,-0.540457,0.999695
0,7,0.643439,0.123231,-0.349687,0.999704
0,8,0.554431,0.122832,-0.349131,0.999738
0,9,0.609884,0.175304,-0.489040,0.999965
0,10,0.577026,0.175602,-0.488910,0.999958
0,11,0.721850,0.324631,-0.206362,0.999934
0,12,0.487957,0.319254,-0.238760,0.999851
0,13,0.753810,0.556123,-0.085421,0.994636
0,14,0.457729,0.542202,-0.162429,0.989670
0,15,0.758911,0.758150,-0.246373,0.992997
0,16,0.442698,0.753214,-0.317166,0.979213
0,17,0.765097,0.827362,-0.306374,0.982853
0,18,0.425246,0.825730,-0.366649,0.954204
0,19,0.745977,0.822671,-0.359534,0.985288
0,20,0.443892,0.824303,-0.434788,0.961172
0,21,0.738113,0.803831,-0.268899,0.986192
0,22,0.453683,0.804259,-0.346871,0.962949
0,23,0.661972,0.748264,0.019160,0.999014
0,24,0.525443,0.749834,-0.018574,0.998666
0,25,0.643073,1.021752,-0.037556,0.685703
0,26,0.509692,1.018112,0.002749,0.708588
0,27,0.657053,1.271019,0.554495,0.032738
0,28,0.509496,1.270471,0.543422,0.036602
0,29,0.654520,1.301936,0.607183,0.048021
0,30,0.509419,1.298409,0.594252,0.024033
0,31,0.658675,1.375892,0.442662,0.021218
0,32,0.522570,1.371950,0.402330,0.020639
1,0,0.593633,0.141958,-0.654382,0.999882
1,1,0.609943,0.109052,-0.629043,0.999750
1,2,0.618946,0.109418,-0.629130,0.999734
1,3,0.627442,0.109882,-0.629273,0.999730
1,4,0.582108,0.108512,-0.629450,0.999736
1,5,0.573206,0.108361,-0.629535,0.999714
1,6,0.564845,0.108027,-0.629743,0.999714
1,7,0.643292,0.121232,-0.423253,0.999722
1,8,0.554772,0.119614,-0.425128,0.999755
1,9,0.610174,0.175304,-0.572435,0.999967
1,10,0.577010,0.175597,-0.572885,0.999960
1,11,0.721701,0.320753,-0.256478,0.999935
1,12,0.487912,0.318305,-0.291467,0.999855
1,13,0.752560,0.556043,-0.119109,0.994674
1,14,0.457329,0.544732,-0.223676,0.989986
1,15,0.758491,0.758346,-0.296838,0.993132
1,16,0.442630,0.753212,-0.409691,0.979786
1,17,0.765277,0.827133,-0.359610,0.983127
1,18,0.424706,0.824389,-0.470120,0.955251
1,19,0.745736,0.822765,-0.424933,0.985542
1,20,0.443638,0.823893,-0.538567,0.962085
1,21,0.737272,0.803863,-0.324563,0.986364
1,22,0.453071,0.803887,-0.440027,0.963651
1,23,0.662381,0.751334,0.016653,0.998951
1,24,0.525420,0.754701,-0.016032,0.998603
1,25,0.644366,1.029073,-0.034023,0.686201
1,26,0.509304,1.023127,0.036909,0.701391
1,27,0.657635,1.298756,0.548597,0.033411
1,28,0.507827,1.302836,0.567770,0.037380
1,29,0.655280,1.332402,0.598781,0.048376
1,30,0.507875,1.335849,0.616409,0.024674
1,31,0.658420,1.405857,0.411732,0.021547
1,32,0.519123,1.405116,0.403292,0.020706
2,0,0.593639,0.141723,-0.681919,0.999888
2,1,0.610000,0.108451,-0.656114,0.999765
