frame,landmark,x,y,z,visibility
0,0,0.499878,0.305044,0.111072,0.999952
0,1,0.493418,0.283256,0.081335,0.999974
0,2,0.488337,0.283302,0.081353,0.999976
0,3,0.483166,0.283967,0.081333,0.999973
0,4,0.506748,0.286072,0.082787,0.999968
0,5,0.511344,0.288082,0.082690,0.999967
0,6,0.516406,0.290508,0.082511,0.999967
0,7,0.474964,0.293743,-0.028215,0.999961
0,8,0.523986,0.304925,-0.023494,0.999976
0,9,0.493250,0.324729,0.079419,0.999838
0,10,0.507738,0.330224,0.080120,0.999808
0,11,0.428034,0.389947,-0.044826,0.999845
0,12,0.564447,0.385302,-0.043596,0.999964
0,13,0.368219,0.251525,0.014828,0.939677
0,14,0.612433,0.273626,0.071506,0.984883
0,15,0.338399,0.095167,0.052460,0.989867
0,16,0.654852,0.106555,0.228661,0.993575
0,17,0.328568,0.060227,0.062964,0.989644
0,18,0.669395,0.074144,0.231517,0.989986
0,19,0.340486,0.052186,0.049571,0.989778
0,20,0.657751,0.062596,0.250951,0.989386
0,21,0.347211,0.065468,0.054317,0.981441
0,22,0.650942,0.075171,0.242473,0.983070
0,23,0.459433,0.818100,-0.009840,0.999929
0,24,0.549438,0.821367,0.008331,0.999955
0,25,0.411053,0.783901,0.363250,0.465699
0,26,0.562559,0.793117,0.354817,0.506293
0,27,0.440818,0.905388,0.477263,0.299868
0,28,0.547017,0.978436,0.397496,0.504231
0,29,0.462636,0.940644,0.497304,0.495152
0,30,0.541082,0.999331,0.408083,0.710436
0,31,0.439868,0.980354,0.587771,0.439934
0,32,0.550787,1.038928,0.468181,0.556660
1,0,0.499078,0.296635,0.100591,0.999956
1,1,0.492867,0.275429,0.065796,0.999976
1,2,0.487790,0.275830,0.065863,0.999978
1,3,0.482634,0.276560,0.065875,0.999975
1,4,0.506459,0.276975,0.069015,0.999970
1,5,0.511223,0.278592,0.069014,0.999970
1,6,0.516402,0.280348,0.068870,0.999970
1,7,0.474810,0.290802,-0.047838,0.999964
1,8,0.524812,0.295507,-0.034255,0.999978
1,9,0.492443,0.318185,0.070665,0.999852
1,10,0.507138,0.321856,0.073434,0.999824
1,11,0.428749,0.389945,-0.034171,0.999854
1,12,0.565255,0.384955,-0.068664,0.999966
1,13,0.368270,0.254098,0.112852,0.941360
1,14,0.613396,0.271596,0.072783,0.985170
1,15,0.339421,0.101360,0.237680,0.989762
1,16,0.655704,0.090888,0.276228,0.993667
1,17,0.328541,0.063747,0.258017,0.989374
1,18,0.670653,0.063465,0.280523,0.990173
1,19,0.341628,0.056973,0.240501,0.989485
1,20,0.658090,0.053517,0.288923,0.989600
1,21,0.349496,0.071326,0.239783,0.981061
1,22,0.651525,0.064116,0.287141,0.983473
1,23,0.458669,0.818104,0.014278,0.999920
1,24,0.548557,0.821367,-0.015757,0.999949
1,25,0.412821,0.783505,0.374050,0.475623
1,26,0.571771,0.818680,0.309919,0.536275
1,27,0.439059,0.903290,0.609303,0.290685
1,28,0.547117,0.980480,0.510356,0.503078
1,29,0.455258,0.946859,0.640610,0.483641
1,30,0.537750,1.000816,0.541946,0.708131
1,31,0.434426,0.934780,0.721261,0.416260
1,32,0.550041,1.024279,0.609959,0.545671
2,0,0.497932,0.290901,0.097035,0.999959
