frame,landmark,x,y,z,visibility
0,0,0.481110,0.221912,-0.353847,0.999842
0,1,0.493153,0.193107,-0.330914,0.999676
0,2,0.500068,0.193259,-0.331033,0.999592
0,3,0.506890,0.193889,-0.331127,0.999645
0,4,0.468814,0.192878,-0.337555,0.999757
0,5,0.460895,0.193660,-0.337634,0.999719
0,6,0.454079,0.194571,-0.337880,0.999763
0,7,0.518076,0.212580,-0.185295,0.999380
0,8,0.446389,0.214502,-0.211611,0.999792
0,9,0.493914,0.261126,-0.297215,0.999936
0,10,0.467117,0.261021,-0.304879,0.999953
0,11,0.570547,0.424267,-0.086400,0.999900
0,12,0.393699,0.431456,-0.170626,0.999842
0,13,0.581382,0.668049,0.020582,0.991868
0,14,0.374165,0.693299,-0.148262,0.994223
0,15,0.587348,0.910739,-0.039829,0.989090
0,16,0.363201,0.916640,-0.240021,0.986259
0,17,0.597931,0.981715,-0.073257,0.971962
0,18,0.353553,0.980069,-0.275698,0.957398
0,19,0.581464,0.979768,-0.104437,0.975552
0,20,0.369388,0.983195,-0.321610,0.965651
0,21,0.574504,0.959073,-0.052715,0.979528
0,22,0.375242,0.961097,-0.258599,0.968422
0,23,0.524253,0.887991,0.015390,0.998604
0,24,0.419575,0.886127,-0.014917,0.998102
0,25,0.517077,1.202733,0.062301,0.321796
0,26,0.425936,1.204535,0.126912,0.151895
0,27,0.521574,1.446411,0.417408,0.009536
0,28,0.434656,1.442353,0.445250,0.008066
0,29,0.525562,1.485463,0.446280,0.010480
0,30,0.434693,1.481780,0.474889,0.009855
0,31,0.507879,1.547911,0.300323,0.005819
0,32,0.444347,1.537482,0.313998,0.007382
1,0,0.481216,0.222652,-0.333136,0.999852
1,1,0.493331,0.193986,-0.315444,0.999695
1,2,0.500347,0.194511,-0.315497,0.999618
1,3,0.506920,0.195597,-0.315490,0.999665
1,4,0.469053,0.193135,-0.319306,0.999771
1,5,0.461244,0.193757,-0.319322,0.999737
1,6,0.454377,0.194595,-0.319487,0.999777
1,7,0.517964,0.213612,-0.183813,0.999420
1,8,0.446763,0.213967,-0.203106,0.999805
1,9,0.494395,0.263443,-0.282776,0.999939
1,10,0.467645,0.262902,-0.287485,0.999956
1,11,0.569417,0.422060,-0.090942,0.999901
1,12,0.393709,0.429068,-0.164452,0.999851
1,13,0.581743,0.665226,0.003256,0.991310
1,14,0.371955,0.686056,-0.140866,0.994192
1,15,0.586007,0.910738,-0.055404,0.987476
1,16,0.363193,0.915442,-0.222301,0.984004
1,17,0.596132,0.981355,-0.090090,0.969225
1,18,0.353645,0.977123,-0.254323,0.952942
1,19,0.580096,0.979768,-0.122611,0.973279
1,20,0.369332,0.980993,-0.297131,0.961759
1,21,0.573768,0.958858,-0.068938,0.977386
1,22,0.375241,0.958671,-0.239783,0.965045
1,23,0.526152,0.892307,0.015814,0.998156
1,24,0.419660,0.892729,-0.015281,0.997804
1,25,0.517512,1.205204,0.068183,0.329303
1,26,0.426528,1.207872,0.085548,0.171614
1,27,0.523042,1.466520,0.314852,0.011428
1,28,0.434850,1.463992,0.284469,0.010023
1,29,0.525695,1.507166,0.331234,0.012921
1,30,0.434664,1.502268,0.301934,0.011504
1,31,0.516890,1.570558,0.194038,0.006576
1,32,0.446380,1.565529,0.144870,0.008168
2,0,0.481676,0.224600,-0.323250,0.999860
2,1,0.494054,0.195597,-0.305835,0.999712
2,2,0.500857,0.196391,-0.305881,0.999640
2,3,0.507203,0.197721,-0.305869,0.999683
2,4,0.469664,0.194223,-0.309553,0.999784
2,5,0.461995,0.194639,-0.309574,0.999752
2,6,0.455113,0.195294,-0.309729,0.999788
2,7,0.517982,0.214971,-0.177841,0.999455
2,8,0.447355,0.213967,-0.195031,0.999816
2,9,0.494916,0.265577,-0.273323,0.999942
2,10,0.468235,0.265130,-0.277901,0.999958
2,11,0.569415,0.421345,-0.090798,0.999902
2,12,0.393834,0.426092,-0.157054,0.999858
2,13,0.581839,0.661870,0.002520,0.990962
2,14,0.371176,0.677225,-0.132121,0.994178
2,15,0.585549,0.910573,-0.055374,0.986555
2,16,0.363711,0.914824,-0.210097,0.982011
2,17,0.595225,0.979932,-0.089521,0.967675
2,18,0.356135,0.976003,-0.241724,0.948976
2,19,0.579199,0.979465,-0.122864,0.971937
2,20,0.371115,0.980099,-0.283130,0.958247
2,21,0.573210,0.958162,-0.069116,0.975987
2,22,0.377190,0.957648,-0.227036,0.961859
2,23,0.526382,0.893627,0.015916,0.997967
2,24,0.419671,0.893151,-0.015364,0.997687
2,25,0.516105,1.205798,0.065325,0.340878
2,26,0.425133,1.207104,0.089291,0.189215
2,27,0.520983,1.469090,0.295583,0.013410
2,28,0.432410,1.462653,0.310613,0.011852
2,29,0.521484,1.509266,0.312475,0.015386
2,30,0.431436,1.500553,0.330432,0.012977
2,31,0.516150,1.572813,0.172618,0.007486
2,32,0.444885,1.564461,0.174718,0.009017
3,0,0.482381,0.228152,-0.313069,0.999869
3,1,0.494922,0.198366,-0.295803,0.999732
3,2,0.501436,0.199320,-0.295848,0.999666
