frame,landmark,x,y,z,visibility
0,0,0.516970,0.352341,-0.000923,0.999527
0,1,0.514362,0.346474,-0.026885,0.999625
0,2,0.511632,0.347667,-0.026880,0.999624
0,3,0.508594,0.348925,-0.026878,0.999599
0,4,0.521593,0.347369,-0.023892,0.999452
0,5,0.523967,0.348916,-0.023955,0.999432
0,6,0.526542,0.350408,-0.024027,0.999401
0,7,0.503350,0.364345,-0.107857,0.999489
0,8,0.530564,0.368527,-0.096296,0.999502
0,9,0.512149,0.369890,-0.023563,0.999480
0,10,0.519816,0.370650,-0.020766,0.999348
0,11,0.477345,0.417336,-0.129841,0.998854
0,12,0.548687,0.414840,-0.095530,0.999385
0,13,0.453623,0.319977,-0.127165,0.945132
0,14,0.567703,0.312237,-0.074700,0.990212
0,15,0.435380,0.199865,-0.177232,0.984654
0,16,0.573561,0.197369,-0.071626,0.997043
0,17,0.427888,0.177920,-0.199610,0.979285
0,18,0.580355,0.174398,-0.085689,0.994977
0,19,0.439855,0.175112,-0.207250,0.979234
0,20,0.570061,0.173786,-0.089574,0.994532
0,21,0.443604,0.182455,-0.181650,0.971658
0,22,0.565294,0.182145,-0.072577,0.991714
0,23,0.491821,0.683219,-0.032090,0.999570
0,24,0.530420,0.679582,0.031789,0.999522
0,25,0.493542,0.810452,0.116481,0.950396
0,26,0.522962,0.812486,0.156720,0.861303
0,27,0.500167,0.960715,0.231248,0.916117
0,28,0.519168,0.955788,0.277915,0.872660
0,29,0.504637,0.975295,0.242716,0.935257
0,30,0.522142,0.968628,0.289945,0.927477
0,31,0.489070,0.979380,0.216373,0.860305
0,32,0.510378,0.974288,0.259247,0.790779
1,0,0.516585,0.353390,-0.001326,0.999361
1,1,0.514026,0.347989,-0.027162,0.999469
1,2,0.511327,0.349081,-0.027157,0.999489
1,3,0.508336,0.350226,-0.027152,0.999444
1,4,0.521131,0.349081,-0.023922,0.999259
1,5,0.523452,0.350661,-0.023983,0.999262
1,6,0.526024,0.352136,-0.024055,0.999197
1,7,0.503035,0.365480,-0.108706,0.999287
1,8,0.530510,0.369821,-0.095341,0.999259
1,9,0.511957,0.370282,-0.024453,0.999218
1,10,0.519599,0.371331,-0.020972,0.999023
1,11,0.477333,0.417321,-0.136943,0.998675
1,12,0.548491,0.414477,-0.091767,0.999191
1,13,0.453263,0.313416,-0.136655,0.946315
1,14,0.566777,0.312907,-0.077353,0.990392
1,15,0.435721,0.198890,-0.183231,0.984536
1,16,0.574065,0.196852,-0.095039,0.996972
1,17,0.427889,0.173811,-0.205439,0.978908
1,18,0.582151,0.173570,-0.106241,0.994821
1,19,0.440045,0.172671,-0.210836,0.978827
1,20,0.571507,0.173249,-0.112873,0.994383
1,21,0.443755,0.179599,-0.186781,0.971232
1,22,0.566237,0.181263,-0.097271,0.991482
1,23,0.495724,0.673296,-0.039527,0.999411
1,24,0.530483,0.659101,0.039342,0.999359
1,25,0.496546,0.806870,0.010320,0.949598
1,26,0.522453,0.803160,0.085317,0.849512
1,27,0.502904,0.960724,0.087114,0.913599
1,28,0.519286,0.955735,0.168078,0.863892
1,29,0.505889,0.975288,0.092431,0.932743
1,30,0.522104,0.968405,0.173726,0.921139
1,31,0.491479,0.990292,0.043524,0.861104
1,32,0.509970,0.978001,0.121527,0.786655
2,0,0.517536,0.353423,-0.014564,0.999145
2,1,0.515217,0.348455,-0.041282,0.999275
2,2,0.512494,0.349498,-0.041279,0.999309
2,3,0.509484,0.350551,-0.041272,0.999247
2,4,0.522303,0.349569,-0.037851,0.999016
2,5,0.524741,0.351126,-0.037891,0.999032
2,6,0.527427,0.352582,-0.037971,0.998950
2,7,0.503454,0.365845,-0.123117,0.999021
2,8,0.532603,0.370476,-0.108299,0.998967
2,9,0.512989,0.370194,-0.037449,0.998911
2,10,0.520594,0.371316,-0.033700,0.998659
2,11,0.477328,0.415610,-0.148678,0.998459
2,12,0.548308,0.413635,-0.098920,0.998968
2,13,0.452394,0.309465,-0.139829,0.946690
2,14,0.566499,0.312247,-0.089745,0.990429
2,15,0.435556,0.196405,-0.183933,0.984338
