frame,landmark,x,y,z,visibility
0,0,0.674981,0.376391,-0.667816,0.999973
0,1,0.685914,0.342960,-0.666803,0.999958
0,2,0.693498,0.338262,-0.666872,0.999959
0,3,0.699606,0.332867,-0.666980,0.999965
0,4,0.661688,0.348709,-0.665219,0.999941
0,5,0.655360,0.347142,-0.665326,0.999920
0,6,0.649457,0.344682,-0.665409,0.999926
0,7,0.712118,0.306288,-0.568007,0.999966
0,8,0.637213,0.323306,-0.557977,0.999888
0,9,0.690559,0.393234,-0.622123,0.999935
0,10,0.666962,0.399457,-0.619275,0.999934
0,11,0.768082,0.390485,-0.452136,0.999858
0,12,0.601280,0.405903,-0.446059,0.999094
0,13,0.808776,0.624538,-0.476978,0.995846
0,14,0.573208,0.624637,-0.463735,0.987155
0,15,0.827628,0.855253,-0.526013,0.986510
0,16,0.559173,0.851833,-0.502307,0.968400
0,17,0.852552,0.877323,-0.572387,0.943685
0,18,0.538666,0.866839,-0.544221,0.873329
0,19,0.834229,0.881792,-0.590524,0.961328
0,20,0.558530,0.874114,-0.562290,0.906922
0,21,0.822894,0.876248,-0.537274,0.953895
0,22,0.569146,0.869721,-0.513341,0.896790
0,23,0.733785,0.587490,-0.006498,0.999412
0,24,0.656477,0.596947,0.006471,0.999033
0,25,0.732452,0.676175,0.290968,0.729618
0,26,0.666329,0.677555,0.308575,0.724783
0,27,0.719054,0.733985,0.637184,0.514360
0,28,0.689266,0.737192,0.642279,0.515145
0,29,0.712531,0.728541,0.668886,0.198495
0,30,0.690622,0.728439,0.673829,0.195695
0,31,0.720390,0.818206,0.583414,0.639156
0,32,0.695485,0.823677,0.590352,0.635345
1,0,0.674878,0.376384,-0.663422,0.999974
1,1,0.685828,0.341585,-0.662274,0.999960
1,2,0.693413,0.336187,-0.662335,0.999961
1,3,0.699485,0.330730,-0.662466,0.999967
1,4,0.661686,0.348073,-0.660574,0.999944
1,5,0.655352,0.346178,-0.660684,0.999924
1,6,0.649429,0.343228,-0.660748,0.999930
1,7,0.711786,0.305343,-0.560226,0.999967
1,8,0.637544,0.323012,-0.550829,0.999893
1,9,0.690468,0.392550,-0.616558,0.999937
1,10,0.666887,0.398561,-0.613829,0.999937
1,11,0.769544,0.392804,-0.445501,0.999857
1,12,0.600648,0.406210,-0.438166,0.999153
1,13,0.808442,0.623013,-0.463405,0.995420
1,14,0.573400,0.624501,-0.448063,0.986747
1,15,0.828099,0.854127,-0.507218,0.985401
1,16,0.559174,0.852639,-0.496232,0.968538
1,17,0.852662,0.877056,-0.551766,0.940950
1,18,0.537734,0.867775,-0.538937,0.875758
1,19,0.834341,0.880377,-0.571669,0.959460
1,20,0.558529,0.874538,-0.558040,0.908905
1,21,0.822935,0.874585,-0.519309,0.952098
1,22,0.569157,0.870001,-0.507857,0.899126
1,23,0.733598,0.589989,-0.008312,0.999416
1,24,0.656462,0.597535,0.008233,0.999061
1,25,0.731145,0.676298,0.298168,0.706216
1,26,0.667136,0.678339,0.317784,0.708709
1,27,0.719011,0.727663,0.643717,0.504134
1,28,0.689073,0.733161,0.657257,0.503651
1,29,0.712772,0.720692,0.676113,0.201884
1,30,0.690491,0.723329,0.689974,0.196743
1,31,0.720454,0.817404,0.599402,0.630338
1,32,0.695829,0.821459,0.614204,0.623336
2,0,0.675714,0.380193,-0.668943,0.999975
2,1,0.686516,0.344905,-0.667395,0.999961
2,2,0.693923,0.339366,-0.667446,0.999962
2,3,0.699870,0.333916,-0.667580,0.999968
2,4,0.662922,0.351856,-0.666536,0.999946
2,5,0.656178,0.349838,-0.666654,0.999927
2,6,0.650048,0.346622,-0.666711,0.999934
2,7,0.712227,0.308270,-0.560599,0.999967
2,8,0.637813,0.327225,-0.556107,0.999897
2,9,0.690982,0.394978,-0.620270,0.999939
2,10,0.667003,0.400916,-0.618857,0.999940
2,11,0.771258,0.397124,-0.446175,0.999857
2,12,0.599932,0.413918,-0.439431,0.999205
2,13,0.808447,0.622953,-0.463877,0.995002
2,14,0.573310,0.625000,-0.451216,0.986193
2,15,0.828634,0.854255,-0.509360,0.984173
2,16,0.559175,0.852842,-0.498986,0.968015
2,17,0.852680,0.877054,-0.553798,0.937547
2,18,0.537296,0.868500,-0.543084,0.875994
2,19,0.834349,0.880013,-0.573925,0.957064
2,20,0.558630,0.874695,-0.561909,0.909159
2,21,0.822940,0.874310,-0.521506,0.949737
2,22,0.569206,0.870043,-0.510732,0.899616
2,23,0.733611,0.592083,-0.008739,0.999415
2,24,0.656489,0.600014,0.008641,0.999081
2,25,0.730843,0.676296,0.309157,0.685606
2,26,0.667642,0.678757,0.326028,0.692185
2,27,0.719012,0.721056,0.662996,0.490171
2,28,0.688840,0.727355,0.672388,0.489336
2,29,0.713053,0.711114,0.696655,0.200558
2,30,0.690285,0.716833,0.705881,0.194935
2,31,0.720707,0.814944,0.622118,0.620216
2,32,0.696306,0.818495,0.630302,0.611061
3,0,0.675754,0.399821,-0.661550,0.999976
3,1,0.686773,0.363346,-0.661129,0.999963
3,2,0.694089,0.357617,-0.661180,0.999964
3,3,0.700001,0.352180,-0.661318,0.999969
3,4,0.663266,0.371905,-0.659719,0.999949
3,5,0.656601,0.370016,-0.659833,0.999931
3,6,0.650475,0.366421,-0.659884,0.999937
3,7,0.712385,0.327247,-0.557916,0.999968
3,8,0.637961,0.341066,-0.550679,0.999901
3,9,0.691415,0.412652,-0.613890,0.999942
3,10,0.667003,0.420132,-0.611742,0.999942
3,11,0.772107,0.407025,-0.443433,0.999863
3,12,0.599797,0.426937,-0.431379,0.999256
3,13,0.808460,0.623692,-0.456046,0.994659
3,14,0.572507,0.626415,-0.433229,0.985330
3,15,0.828929,0.854274,-0.503416,0.982838
3,16,0.558873,0.853002,-0.483010,0.966140
3,17,0.852673,0.877079,-0.547880,0.933978
3,18,0.536141,0.869057,-0.524667,0.872485
3,19,0.834356,0.879709,-0.566904,0.954589
