frame,landmark,x,y,z,visibility
0,0,0.479700,0.291840,-0.227751,0.999985
0,1,0.489089,0.267067,-0.199826,0.999993
0,2,0.494688,0.267305,-0.199918,0.999989
0,3,0.499862,0.267674,-0.200174,0.999992
0,4,0.469558,0.267051,-0.200085,0.999987
0,5,0.462816,0.267459,-0.200048,0.999974
0,6,0.456846,0.267669,-0.200000,0.999977
0,7,0.509897,0.280681,-0.049489,0.999992
0,8,0.450018,0.281176,-0.049895,0.999970
0,9,0.490004,0.323055,-0.173750,0.999998
0,10,0.466528,0.322096,-0.173841,0.999995
0,11,0.549386,0.434795,0.018685,0.999966
0,12,0.410529,0.432751,0.009335,0.999653
0,13,0.607232,0.585040,-0.151729,0.995390
0,14,0.354038,0.590923,-0.165040,0.995725
0,15,0.645177,0.469813,-0.428044,0.998462
0,16,0.307098,0.472038,-0.488701,0.999179
0,17,0.658721,0.441968,-0.473888,0.994334
0,18,0.284119,0.443720,-0.533805,0.997451
0,19,0.646620,0.413972,-0.465671,0.993763
0,20,0.290512,0.421253,-0.537861,0.997139
0,21,0.639446,0.425272,-0.429971,0.992498
0,22,0.301051,0.428188,-0.497309,0.996132
0,23,0.516355,0.767891,0.017846,0.999940
0,24,0.431123,0.767460,-0.017645,0.999584
0,25,0.579423,0.929144,-0.383233,0.964392
0,26,0.404462,0.998904,-0.200768,0.846868
0,27,0.546242,1.097080,-0.144537,0.194898
0,28,0.433688,1.060434,0.228829,0.010249
0,29,0.529891,1.121908,-0.117873,0.408648
0,30,0.444010,1.061438,0.274856,0.017417
0,31,0.566663,1.180521,-0.189982,0.159663
0,32,0.438349,1.122232,0.245863,0.010693
1,0,0.479700,0.292163,-0.198339,0.999986
1,1,0.489114,0.267801,-0.168388,0.999994
1,2,0.494672,0.268001,-0.168509,0.999990
1,3,0.499837,0.268236,-0.168780,0.999992
1,4,0.469602,0.267087,-0.170165,0.999988
1,5,0.462856,0.267393,-0.170094,0.999976
1,6,0.456922,0.267559,-0.170037,0.999979
1,7,0.509356,0.280931,-0.013318,0.999993
1,8,0.450412,0.281279,-0.021011,0.999972
1,9,0.489898,0.323999,-0.142319,0.999998
1,10,0.466551,0.322750,-0.144506,0.999995
1,11,0.549356,0.434797,0.054467,0.999969
1,12,0.409719,0.430919,0.037096,0.999680
1,13,0.604908,0.584540,-0.097757,0.995636
1,14,0.354479,0.591101,-0.129481,0.995784
1,15,0.645232,0.470292,-0.377932,0.998521
1,16,0.307071,0.473072,-0.462592,0.999184
1,17,0.658625,0.443537,-0.431477,0.994557
1,18,0.284715,0.445381,-0.513681,0.997506
1,19,0.646911,0.420312,-0.424077,0.994035
1,20,0.291100,0.423538,-0.522397,0.997218
1,21,0.639884,0.428512,-0.381525,0.992774
1,22,0.301402,0.429938,-0.474205,0.996222
1,23,0.516952,0.772447,0.017035,0.999934
1,24,0.430664,0.771933,-0.016807,0.999561
1,25,0.579062,0.934644,-0.417534,0.966234
1,26,0.409038,0.998478,-0.218190,0.853007
1,27,0.539616,1.097768,-0.132483,0.221421
1,28,0.423739,1.103268,0.198666,0.016697
1,29,0.521650,1.120122,-0.101641,0.419235
1,30,0.429269,1.105785,0.242092,0.022899
1,31,0.551294,1.196472,-0.184637,0.180810
1,32,0.425127,1.181734,0.185281,0.014137
2,0,0.479736,0.292436,-0.161182,0.999988
2,1,0.489129,0.267999,-0.131355,0.999994
2,2,0.494631,0.268149,-0.131481,0.999991
2,3,0.499743,0.268325,-0.131750,0.999993
2,4,0.469695,0.267100,-0.132932,0.999989
2,5,0.462934,0.267366,-0.132873,0.999978
2,6,0.457027,0.267508,-0.132829,0.999980
2,7,0.508636,0.280906,0.018875,0.999994
2,8,0.450782,0.281279,0.012157,0.999975
2,9,0.489861,0.324185,-0.107069,0.999998
2,10,0.466616,0.322970,-0.108980,0.999995
2,11,0.549292,0.434784,0.079687,0.999971
2,12,0.409121,0.429555,0.062368,0.999705
2,13,0.604215,0.584538,-0.076072,0.995779
2,14,0.354642,0.591285,-0.101638,0.995817
2,15,0.642297,0.471987,-0.356607,0.998550
2,16,0.306972,0.473184,-0.424386,0.999184
2,17,0.657595,0.446271,-0.410452,0.994696
2,18,0.284699,0.445421,-0.474882,0.997546
2,19,0.646879,0.425958,-0.402462,0.994219
2,20,0.291101,0.423668,-0.484081,0.997281
2,21,0.639179,0.431968,-0.360211,0.992940
2,22,0.301405,0.429969,-0.436215,0.996297
2,23,0.518860,0.776093,0.016317,0.999924
2,24,0.430447,0.775451,-0.016077,0.999530
2,25,0.578833,0.940695,-0.416098,0.967481
2,26,0.410643,0.998269,-0.230134,0.857581
2,27,0.540167,1.109464,-0.133139,0.244778
2,28,0.420362,1.129074,0.156245,0.023935
2,29,0.522509,1.128476,-0.103277,0.426948
2,30,0.425739,1.135143,0.195948,0.028456
2,31,0.553808,1.214813,-0.185074,0.198136
2,32,0.419886,1.210394,0.132730,0.017854
3,0,0.479731,0.292746,-0.158676,0.999989
3,1,0.489167,0.268620,-0.129562,0.999995
3,2,0.494618,0.268801,-0.129686,0.999992
3,3,0.499740,0.268968,-0.129953,0.999993
3,4,0.469768,0.267218,-0.131100,0.999990
3,5,0.462970,0.267367,-0.131046,0.999980
3,6,0.457047,0.267474,-0.131010,0.999982
3,7,0.508395,0.281215,0.018588,0.999994
3,8,0.450930,0.281278,0.011875,0.999977
3,9,0.489716,0.324465,-0.105117,0.999998
3,10,0.466599,0.323091,-0.107037,0.999996
3,11,0.549233,0.434520,0.081583,0.999974
3,12,0.408107,0.428408,0.062056,0.999728
3,13,0.604049,0.584330,-0.077104,0.995817
3,14,0.354545,0.591811,-0.104006,0.995879
3,15,0.642295,0.470888,-0.358115,0.998526
3,16,0.306416,0.473621,-0.422857,0.999184
3,17,0.657602,0.446313,-0.411178,0.994670
3,18,0.284462,0.445474,-0.472238,0.997578
3,19,0.647052,0.426080,-0.402246,0.994227
3,20,0.291097,0.423679,-0.479847,0.997335
3,21,0.639196,0.431777,-0.361523,0.992904
3,22,0.301392,0.429961,-0.433794,0.996367
3,23,0.519430,0.778406,0.015497,0.999914
3,24,0.430428,0.777793,-0.015253,0.999496
3,25,0.578522,0.942651,-0.409990,0.968612
3,26,0.410887,0.998763,-0.197239,0.860722
3,27,0.540565,1.121885,-0.133730,0.269132
3,28,0.421898,1.139543,0.181691,0.029584
3,29,0.523058,1.141693,-0.105033,0.435656
3,30,0.428356,1.146414,0.224723,0.032929
3,31,0.555046,1.226955,-0.195733,0.217809
3,32,0.422258,1.219547,0.171325,0.020699
4,0,0.479790,0.293025,-0.156287,0.999989
4,1,0.489299,0.268782,-0.127552,0.999995
4,2,0.494620,0.268997,-0.127675,0.999992
4,3,0.499755,0.269200,-0.127933,0.999994
4,4,0.469938,0.267226,-0.129239,0.999990
4,5,0.463134,0.267358,-0.129186,0.999981
4,6,0.457151,0.267411,-0.129149,0.999983
4,7,0.508207,0.281264,0.018823,0.999995
4,8,0.451068,0.281166,0.011170,0.999979
4,9,0.489658,0.324523,-0.103424,0.999998
4,10,0.466625,0.323090,-0.105595,0.999996
4,11,0.549124,0.433992,0.081197,0.999976
4,12,0.406866,0.426834,0.062457,0.999748
4,13,0.602613,0.584317,-0.076084,0.995920
4,14,0.354021,0.592016,-0.102879,0.995990
4,15,0.641558,0.473308,-0.360307,0.998565
4,16,0.306169,0.475250,-0.423462,0.999202
4,17,0.657135,0.448215,-0.414197,0.994846
4,18,0.284005,0.446650,-0.472318,0.997653
4,19,0.647063,0.427616,-0.406799,0.994445
4,20,0.291095,0.424566,-0.481254,0.997432
4,21,0.639109,0.432639,-0.364303,0.993131
4,22,0.301483,0.430923,-0.434823,0.996493
4,23,0.519746,0.779626,0.015362,0.999901
4,24,0.430066,0.779597,-0.015109,0.999438
4,25,0.578512,0.942399,-0.415647,0.969873
4,26,0.411078,0.997322,-0.181786,0.864297
4,27,0.540772,1.137148,-0.182682,0.295829
4,28,0.422641,1.151901,0.182133,0.036442
4,29,0.523406,1.161115,-0.159847,0.447323
4,30,0.429811,1.161261,0.219631,0.037825
4,31,0.555832,1.244680,-0.257954,0.238522
4,32,0.423810,1.233698,0.153607,0.023910
5,0,0.479883,0.293340,-0.201559,0.999990
5,1,0.489419,0.268979,-0.172594,0.999995
5,2,0.494624,0.269216,-0.172728,0.999993
5,3,0.499768,0.269398,-0.172953,0.999994
5,4,0.470146,0.267296,-0.176717,0.999991
5,5,0.463329,0.267375,-0.176629,0.999983
5,6,0.457267,0.267403,-0.176575,0.999984
5,7,0.507840,0.281295,-0.018337,0.999995
5,8,0.451089,0.281085,-0.037159,0.999980
5,9,0.489615,0.324570,-0.144919,0.999998
5,10,0.466674,0.323080,-0.150387,0.999996
5,11,0.548915,0.433259,0.044657,0.999978
5,12,0.405662,0.425968,0.023964,0.999767
5,13,0.599527,0.584372,-0.089170,0.996003
5,14,0.353764,0.593539,-0.122805,0.995949
5,15,0.640932,0.475436,-0.406040,0.998614
5,16,0.306413,0.477119,-0.453186,0.999204
5,17,0.657036,0.450956,-0.463617,0.995066
5,18,0.284900,0.448028,-0.507380,0.997695
5,19,0.647180,0.428880,-0.461779,0.994700
5,20,0.292993,0.425222,-0.518443,0.997490
5,21,0.639095,0.433378,-0.413327,0.993416
5,22,0.303336,0.432015,-0.466065,0.996557
5,23,0.520359,0.780323,0.015189,0.999890
5,24,0.429932,0.780463,-0.014961,0.999414
5,25,0.578387,0.942934,-0.333890,0.969562
5,26,0.414255,0.995439,-0.237660,0.866112
5,27,0.531567,1.076688,0.067025,0.289773
5,28,0.422951,1.105142,0.176910,0.038833
5,29,0.513028,1.078126,0.109607,0.430387
5,30,0.430730,1.105521,0.220759,0.039952
5,31,0.537616,1.188463,0.064028,0.234772
5,32,0.428274,1.184270,0.171982,0.026414
6,0,0.479916,0.293349,-0.191755,0.999991
6,1,0.489523,0.269026,-0.161900,0.999995
6,2,0.494660,0.269290,-0.162034,0.999993
6,3,0.499873,0.269468,-0.162268,0.999994
6,4,0.470386,0.267299,-0.165792,0.999991
6,5,0.463530,0.267343,-0.165721,0.999984
6,6,0.457359,0.267251,-0.165679,0.999985
6,7,0.507819,0.281402,-0.007022,0.999995
6,8,0.451086,0.280843,-0.025931,0.999982
6,9,0.489520,0.324537,-0.135321,0.999998
6,10,0.466675,0.322870,-0.140573,0.999996
6,11,0.548781,0.432361,0.055791,0.999979
