frame,landmark,x,y,z,visibility
0,0,0.469745,0.531127,-0.215767,0.999900
0,1,0.476190,0.514348,-0.210239,0.999926
0,2,0.480175,0.512317,-0.210337,0.999915
0,3,0.483690,0.510163,-0.210536,0.999914
0,4,0.463652,0.514744,-0.205393,0.999837
0,5,0.459948,0.513093,-0.205364,0.999750
0,6,0.456603,0.511174,-0.205372,0.999752
0,7,0.489354,0.501863,-0.113611,0.999942
0,8,0.451716,0.501213,-0.092035,0.999880
0,9,0.476464,0.541676,-0.173252,0.999973
0,10,0.462587,0.540992,-0.167387,0.999954
0,11,0.514958,0.557199,-0.035219,0.999976
0,12,0.421388,0.552423,0.010434,0.999880
0,13,0.542536,0.658495,-0.144783,0.992637
0,14,0.386497,0.653473,-0.019984,0.988918
0,15,0.564844,0.560896,-0.359635,0.994018
0,16,0.361803,0.571820,-0.184963,0.994179
0,17,0.568660,0.532720,-0.397517,0.983936
0,18,0.354309,0.544776,-0.210935,0.983838
0,19,0.562250,0.524001,-0.393578,0.982856
0,20,0.359573,0.530253,-0.214747,0.983856
0,21,0.559129,0.531088,-0.362904,0.978348
0,22,0.364081,0.537230,-0.190859,0.981527
0,23,0.497073,0.817814,-0.009183,0.999740
0,24,0.436491,0.817195,0.009419,0.999278
0,25,0.516712,0.998286,-0.071367,0.879807
0,26,0.420906,0.997356,-0.050378,0.852624
0,27,0.500646,1.100765,0.224184,0.070028
0,28,0.422426,1.060650,0.236370,0.038615
0,29,0.495636,1.108144,0.254875,0.099958
0,30,0.424088,1.064252,0.268252,0.065617
0,31,0.503457,1.159222,0.216512,0.041446
0,32,0.425805,1.110120,0.230202,0.027898
1,0,0.470211,0.531218,-0.298883,0.999890
1,1,0.476617,0.514345,-0.297234,0.999912
1,2,0.480576,0.512325,-0.297336,0.999906
1,3,0.484134,0.510186,-0.297524,0.999898
1,4,0.464141,0.514506,-0.292144,0.999817
1,5,0.460396,0.512656,-0.292173,0.999737
1,6,0.457022,0.510452,-0.292222,0.999728
1,7,0.490103,0.501312,-0.197926,0.999936
1,8,0.452032,0.499359,-0.172833,0.999875
1,9,0.477156,0.541448,-0.252786,0.999968
1,10,0.463317,0.540796,-0.246000,0.999949
1,11,0.515060,0.554619,-0.094168,0.999968
1,12,0.421435,0.551632,-0.045522,0.999882
1,13,0.542719,0.658496,-0.220748,0.992399
1,14,0.384545,0.653414,-0.029253,0.989654
1,15,0.564843,0.565039,-0.485082,0.993356
1,16,0.361702,0.565841,-0.150577,0.994513
1,17,0.568779,0.533628,-0.528613,0.982892
1,18,0.354182,0.541379,-0.167030,0.984727
1,19,0.563493,0.524618,-0.525315,0.981857
1,20,0.359552,0.526301,-0.173183,0.984776
1,21,0.560964,0.532780,-0.489962,0.977230
1,22,0.363904,0.533468,-0.154855,0.982524
1,23,0.496644,0.818374,-0.010583,0.999606
1,24,0.436598,0.818241,0.010863,0.999137
1,25,0.516371,0.996700,-0.091154,0.883661
1,26,0.423804,0.997020,-0.032897,0.857807
1,27,0.498855,1.098278,0.228996,0.073456
1,28,0.431055,1.108136,0.220614,0.047912
1,29,0.494734,1.103514,0.261938,0.102488
1,30,0.432295,1.118578,0.246432,0.072653
1,31,0.495467,1.159466,0.216416,0.043193
1,32,0.436471,1.170089,0.172071,0.032266
2,0,0.470506,0.531246,-0.310406,0.999866
2,1,0.476843,0.514232,-0.308132,0.999897
2,2,0.480753,0.512211,-0.308235,0.999891
2,3,0.484274,0.510055,-0.308458,0.999878
2,4,0.464395,0.514361,-0.303429,0.999790
2,5,0.460564,0.512447,-0.303421,0.999703
2,6,0.457139,0.510104,-0.303459,0.999689
2,7,0.490315,0.500344,-0.204433,0.999924
2,8,0.452262,0.497765,-0.181224,0.999862
2,9,0.477571,0.541179,-0.262736,0.999964
2,10,0.463816,0.540755,-0.256488,0.999944
2,11,0.515407,0.554146,-0.100758,0.999961
2,12,0.421577,0.551398,-0.060530,0.999881
2,13,0.542719,0.658575,-0.240832,0.990255
2,14,0.383866,0.652910,-0.073557,0.989723
2,15,0.564658,0.570589,-0.524754,0.991157
2,16,0.361819,0.563359,-0.225685,0.994551
2,17,0.569074,0.535462,-0.571739,0.979383
2,18,0.354154,0.540448,-0.249127,0.984963
