frame,landmark,x,y,z,visibility
0,0,0.569932,0.185372,-0.139050,0.999954
0,1,0.572987,0.164411,-0.122280,0.999838
0,2,0.572628,0.163995,-0.122249,0.999780
0,3,0.571943,0.163463,-0.122223,0.999807
0,4,0.569794,0.160453,-0.155689,0.999930
0,5,0.567219,0.157382,-0.155706,0.999936
0,6,0.564063,0.153480,-0.155735,0.999946
0,7,0.554964,0.152736,-0.022698,0.999440
0,8,0.545545,0.138152,-0.176432,0.999945
0,9,0.559148,0.199718,-0.097750,0.999896
0,10,0.555307,0.195292,-0.141988,0.999965
0,11,0.532112,0.253702,0.086400,0.999758
0,12,0.474903,0.203264,-0.214633,0.999990
0,13,0.507575,0.405724,0.137809,0.184856
0,14,0.434986,0.369489,-0.250463,0.997096
0,15,0.506266,0.531444,0.053673,0.450086
0,16,0.417366,0.531497,-0.270680,0.989905
0,17,0.507136,0.566430,0.044362,0.455103
0,18,0.410726,0.567067,-0.299976,0.980887
0,19,0.510376,0.565094,0.010669,0.475230
0,20,0.422701,0.566033,-0.300013,0.980885
0,21,0.507694,0.553783,0.036252,0.458748
0,22,0.427170,0.557918,-0.268554,0.971724
0,23,0.489414,0.542374,0.087971,0.998867
0,24,0.450325,0.523347,-0.087985,0.999409
0,25,0.450368,0.741043,0.024643,0.924847
0,26,0.408941,0.752486,-0.112808,0.974673
0,27,0.331312,0.840176,0.145209,0.888784
0,28,0.309138,0.867759,0.009410,0.979654
0,29,0.304797,0.840831,0.153541,0.857089
0,30,0.288717,0.863571,0.016741,0.921308
0,31,0.313278,0.939806,0.092277,0.922658
0,32,0.297160,0.971599,-0.075934,0.975885
1,0,0.570047,0.185197,-0.121607,0.999950
1,1,0.573103,0.164382,-0.103092,0.999831
1,2,0.572770,0.163922,-0.103066,0.999773
1,3,0.572118,0.163326,-0.103014,0.999801
1,4,0.570059,0.160461,-0.140804,0.999927
1,5,0.567635,0.157390,-0.140861,0.999934
1,6,0.564747,0.153518,-0.140919,0.999944
1,7,0.555255,0.152412,-0.003352,0.999423
1,8,0.546118,0.138867,-0.174614,0.999944
1,9,0.559838,0.199670,-0.080449,0.999883
1,10,0.556331,0.195367,-0.130151,0.999959
1,11,0.531892,0.251425,0.106216,0.999742
1,12,0.473770,0.203332,-0.216129,0.999989
1,13,0.505843,0.404353,0.149536,0.172851
1,14,0.434989,0.369545,-0.254753,0.997180
1,15,0.505868,0.533084,0.067142,0.428636
1,16,0.417292,0.531393,-0.271852,0.990322
1,17,0.506354,0.573665,0.063962,0.435992
1,18,0.409915,0.567073,-0.300064,0.981656
1,19,0.509505,0.572076,0.030007,0.455570
1,20,0.419178,0.568082,-0.300061,0.981696
1,21,0.507439,0.558097,0.049358,0.440216
1,22,0.423912,0.559190,-0.269512,0.972769
1,23,0.492897,0.544651,0.090142,0.998899
1,24,0.454978,0.525868,-0.090147,0.999416
1,25,0.449987,0.739840,-0.003992,0.924267
1,26,0.410579,0.750829,-0.118864,0.974808
1,27,0.328392,0.840742,0.090561,0.890488
1,28,0.309406,0.864656,0.009269,0.979123
1,29,0.303157,0.837997,0.096241,0.859765
1,30,0.288607,0.855816,0.016753,0.921113
1,31,0.312976,0.939519,0.024732,0.924786
1,32,0.296150,0.972305,-0.072906,0.975821
2,0,0.571057,0.184804,-0.114220,0.999949
2,1,0.573982,0.164264,-0.094846,0.999831
2,2,0.573689,0.163749,-0.094823,0.999775
2,3,0.573058,0.163088,-0.094775,0.999803
2,4,0.571111,0.160448,-0.133262,0.999927
2,5,0.568873,0.157384,-0.133313,0.999934
2,6,0.566165,0.153527,-0.133369,0.999943
2,7,0.556222,0.152249,0.005086,0.999433
2,8,0.547422,0.139446,-0.170823,0.999945
2,9,0.561090,0.199453,-0.073252,0.999877
2,10,0.558106,0.195363,-0.123931,0.999956
2,11,0.531927,0.251225,0.111386,0.999735
2,12,0.472813,0.203890,-0.216105,0.999989
2,13,0.504981,0.404165,0.152217,0.161920
2,14,0.434970,0.370613,-0.254759,0.997238
2,15,0.505228,0.538782,0.074568,0.407274
2,16,0.417242,0.532410,-0.270066,0.990555
2,17,0.505565,0.577556,0.072507,0.416404
2,18,0.409650,0.568014,-0.296360,0.982120
2,19,0.508585,0.576653,0.039232,0.435458
2,20,0.416946,0.571094,-0.296892,0.982220
2,21,0.505938,0.564424,0.057084,0.421332
2,22,0.421911,0.561698,-0.267883,0.973402
2,23,0.494471,0.544636,0.091483,0.998935
2,24,0.456007,0.526223,-0.091490,0.999422
2,25,0.444239,0.737625,-0.014319,0.922808
2,26,0.412874,0.750750,-0.121983,0.974912
2,27,0.328046,0.841569,0.079052,0.890307
2,28,0.309630,0.863026,0.010685,0.977946
2,29,0.302745,0.837885,0.084659,0.860660
2,30,0.287295,0.851062,0.019602,0.920115
