frame,landmark,x,y,z,visibility
0,0,0.454055,0.304114,-0.272397,0.999965
0,1,0.452174,0.274400,-0.280235,0.999971
0,2,0.456213,0.267397,-0.280278,0.999959
0,3,0.460756,0.259686,-0.280448,0.999965
0,4,0.444639,0.286720,-0.249998,0.999976
0,5,0.442787,0.289118,-0.249942,0.999957
0,6,0.440851,0.291410,-0.249999,0.999964
0,7,0.476090,0.245521,-0.250946,0.999978
0,8,0.449435,0.280289,-0.116087,0.999966
0,9,0.474394,0.313932,-0.255876,0.999949
0,10,0.462558,0.326355,-0.216532,0.999911
0,11,0.531931,0.377074,-0.283700,0.999416
0,12,0.511916,0.351741,0.057350,0.999201
0,13,0.545035,0.596225,-0.284522,0.966562
0,14,0.511614,0.525917,0.153792,0.160520
0,15,0.442082,0.640008,-0.248202,0.968738
0,16,0.450568,0.585622,0.142553,0.423449
0,17,0.416635,0.658708,-0.274327,0.947821
0,18,0.436099,0.592233,0.152235,0.435489
0,19,0.414764,0.633722,-0.261841,0.949970
0,20,0.427773,0.591795,0.131523,0.432984
0,21,0.422598,0.627031,-0.239781,0.935262
0,22,0.432884,0.591999,0.132455,0.438184
0,23,0.616080,0.676882,-0.084920,0.994530
0,24,0.587281,0.657500,0.085005,0.991208
0,25,0.587376,0.944755,-0.140348,0.647650
0,26,0.599259,0.885579,0.131975,0.322047
0,27,0.657218,1.071124,0.069111,0.114682
0,28,0.653198,1.056442,0.249042,0.081204
0,29,0.680144,1.088436,0.090615,0.314681
0,30,0.672518,1.080761,0.260936,0.116015
0,31,0.624186,1.139751,0.087257,0.100990
0,32,0.631932,1.136931,0.240033,0.064562
1,0,0.454050,0.305137,-0.280647,0.999959
1,1,0.452299,0.277463,-0.295980,0.999966
1,2,0.456239,0.271441,-0.296027,0.999955
1,3,0.460711,0.264834,-0.296183,0.999959
1,4,0.444767,0.288268,-0.261156,0.999972
1,5,0.442861,0.290527,-0.261072,0.999950
1,6,0.440898,0.292677,-0.261210,0.999956
1,7,0.476357,0.247496,-0.280724,0.999977
1,8,0.449879,0.280996,-0.125837,0.999963
1,9,0.473305,0.314173,-0.267036,0.999944
1,10,0.462515,0.326327,-0.222508,0.999902
1,11,0.532111,0.373929,-0.310696,0.999423
1,12,0.513306,0.349705,0.063602,0.999185
1,13,0.544941,0.596140,-0.322201,0.967459
1,14,0.520978,0.520373,0.231102,0.154792
1,15,0.443346,0.639537,-0.271121,0.968925
1,16,0.457074,0.561051,0.287286,0.414157
1,17,0.419280,0.656730,-0.295142,0.947670
1,18,0.440865,0.566333,0.309772,0.427286
1,19,0.417575,0.631536,-0.283714,0.949626
1,20,0.432986,0.581355,0.283764,0.425656
1,21,0.425119,0.625675,-0.261555,0.933951
1,22,0.439579,0.575393,0.276958,0.431162
1,23,0.614176,0.697299,-0.097497,0.990292
1,24,0.592246,0.674370,0.097708,0.986961
1,25,0.590288,0.947543,-0.075824,0.653919
1,26,0.601969,0.931092,0.163485,0.320609
1,27,0.655651,1.167915,0.079346,0.126301
1,28,0.653221,1.133409,0.284677,0.083207
1,29,0.677142,1.198331,0.093294,0.329573
1,30,0.672525,1.163596,0.294690,0.127470
1,31,0.618926,1.241936,0.047239,0.107009
1,32,0.624506,1.212969,0.246276,0.065670
2,0,0.454055,0.306348,-0.279756,0.999944
2,1,0.452599,0.279726,-0.295166,0.999954
2,2,0.456440,0.274371,-0.295221,0.999943
2,3,0.460747,0.268614,-0.295375,0.999945
2,4,0.444973,0.289466,-0.260243,0.999960
2,5,0.442967,0.291506,-0.260165,0.999934
2,6,0.440944,0.293487,-0.260298,0.999936
2,7,0.476805,0.249865,-0.284223,0.999972
2,8,0.450036,0.281785,-0.126567,0.999952
2,9,0.472514,0.314912,-0.266112,0.999931
2,10,0.462402,0.326379,-0.222125,0.999871
2,11,0.533293,0.370240,-0.314498,0.999411
2,12,0.513616,0.349057,0.069545,0.999117
2,13,0.544960,0.593899,-0.322495,0.967874
2,14,0.525783,0.520352,0.240031,0.150584
2,15,0.441350,0.630653,-0.265830,0.968216
2,16,0.457489,0.539408,0.298963,0.406738
2,17,0.418869,0.637718,-0.291410,0.946017
2,18,0.440866,0.541657,0.321294,0.420171
2,19,0.417496,0.613624,-0.279356,0.947796
2,20,0.432750,0.544528,0.298010,0.418745
